web-scraper-order,web-scraper-start-url,links,links-href,ชื่อมหาลัย,หลักสูตร,วิทยาเขต,ค่าเทอม,Portfolio,Quota,Admission,Direct Admission
"1722072502-11","https://course.mytcas.com/","วิศวกรรมศาสตรบัณฑิต สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมเครื่องกลมหาวิทยาลัยปทุมธานี","https://course.mytcas.com/programs/49110101300701A","มหาวิทยาลัยปทุมธานี","วิศวกรรมศาสตรบัณฑิต","วิทยาเขตหลัก","อัตราค่าเล่าเรียน 46,000 ต่อภาคเรียน หรือ 368,000 บาท ตลอดหลักสูตร","","","10","ไม่เปิดรับสมัครในรอบนี้"
"1722072507-12","https://course.mytcas.com/","วศ.บ. วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมอุตสาหการมหาวิทยาลัยสยาม วิทยาเขตหลัก","https://course.mytcas.com/programs/41810101303501A","มหาวิทยาลัยสยาม","วศ.บ. วิศวกรรมอุตสาหการ","วิทยาเขตหลัก","ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 305,700 บาท","40","","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072513-13","https://course.mytcas.com/","วศ.บ. วิศวกรรมโยธา (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมโยธามหาวิทยาลัยสยาม วิทยาเขตหลัก","https://course.mytcas.com/programs/41810101302101A","มหาวิทยาลัยสยาม","วศ.บ. วิศวกรรมโยธา","วิทยาเขตหลัก","ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 326,600 บาท","40","","","ไม่เปิดรับสมัครในรอบนี้"
"1722072518-14","https://course.mytcas.com/","วศ.บ. วิศวกรรมยานยนต์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมยานยนต์มหาวิทยาลัยสยาม วิทยาเขตหลัก","https://course.mytcas.com/programs/41810101302001A","มหาวิทยาลัยสยาม","วศ.บ. วิศวกรรมยานยนต์","วิทยาเขตหลัก","ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 301,650 บาท","40","","","ไม่เปิดรับสมัครในรอบนี้"
"1722072523-15","https://course.mytcas.com/","วศ.บ. วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมไฟฟ้ามหาวิทยาลัยสยาม วิทยาเขตหลัก","https://course.mytcas.com/programs/41810101301601A","มหาวิทยาลัยสยาม","วศ.บ. วิศวกรรมไฟฟ้า","วิทยาเขตหลัก","ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 333,500 บาท","40","","","ไม่เปิดรับสมัครในรอบนี้"
"1722072528-16","https://course.mytcas.com/","วศ.บ. วิศวกรรมเครื่องกล (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยสยาม วิทยาเขตหลัก","https://course.mytcas.com/programs/41810101300701A","มหาวิทยาลัยสยาม","วศ.บ. วิศวกรรมเครื่องกล","วิทยาเขตหลัก","ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 329,850 บาท","40","","","ไม่เปิดรับสมัครในรอบนี้"
"1722072533-17","https://course.mytcas.com/","วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมคอมพิวเตอร์มหาวิทยาลัยสยาม วิทยาเขตหลัก","https://course.mytcas.com/programs/41810101300501A","มหาวิทยาลัยสยาม","วศ.บ. วิศวกรรมคอมพิวเตอร์","วิทยาเขตหลัก","ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 303,500 บาท","30","","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072538-18","https://course.mytcas.com/","วิศวกรรมศาสตรบัณฑิต (สาขาวิชาวิศวกรรมยานยนต์,สาขาวิชาวิศวกรรมเครื่องกล,สาขาวิชาวิศวกรรมไฟฟ้า,สาขาวิชาวิศวกรรมโยธา เลือกสาขาภายหลัง) (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมทั่วไปมหาวิทยาลัยสยาม วิทยาเขตหลัก","https://course.mytcas.com/programs/41810101300001A","มหาวิทยาลัยสยาม","วิศวกรรมศาสตรบัณฑิต (สาขาวิชาวิศวกรรมยานยนต์,สาขาวิชาวิศวกรรมเครื่องกล,สาขาวิชาวิศวกรรมไฟฟ้า,สาขาวิชาวิศวกรรมโยธา เลือกสาขาภายหลัง)","วิทยาเขตหลัก","ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 320,000 บาท","","","80","ไม่เปิดรับสมัครในรอบนี้"
"1722072543-19","https://course.mytcas.com/","วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมอุตสาหการมหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า","https://course.mytcas.com/programs/41800204303501A","มหาวิทยาลัยเกษมบัณฑิต","วศ.บ.วิศวกรรมอุตสาหการ","วิทยาเขตร่มเกล้า","อัตราค่าเล่าเรียน 282,410 บาท ตลอดหลักสูตร","","","60","ไม่เปิดรับสมัครในรอบนี้"
"1722072548-20","https://course.mytcas.com/","วศ.บ.วิศวกรรมโยธา (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมโยธามหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า","https://course.mytcas.com/programs/41800204302101A","มหาวิทยาลัยเกษมบัณฑิต","วศ.บ.วิศวกรรมโยธา","วิทยาเขตร่มเกล้า","อัตราค่าเล่าเรียน 281,390 บาท ตลอดหลักสูตร","","","40","ไม่เปิดรับสมัครในรอบนี้"
