web-scraper-order,web-scraper-start-url,links,links-href,ชื่อมหาลัย,หลักสูตร,วิทยาเขต,ค่าเทอม,Portfolio,Quota,Admission,Direct Admission
"1722072750-60","https://course.mytcas.com/","วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมอุตสาหการมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331303501A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมอุตสาหการ","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","15","5","","ไม่เปิดรับสมัครในรอบนี้"
"1722072755-61","https://course.mytcas.com/","วศ.บ.วิศวกรรมโทรคมนาคม (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมอิเล็กทรอนิกส์มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331303401A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมโทรคมนาคม","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","6","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072760-62","https://course.mytcas.com/","วศ.บ.วิศวกรรมโลหการ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมวัสดุมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331302501A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมโลหการ","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","6","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072766-63","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล-ระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331300703A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องกล-ระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","2","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072771-64","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล-วิชาเอกวิศวกรรมระบบราง (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331300702A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องกล-วิชาเอกวิศวกรรมระบบราง","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","3","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072776-65","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331300701A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องกล","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","3","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072781-66","https://course.mytcas.com/","วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมคอมพิวเตอร์มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331300501A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมคอมพิวเตอร์","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","8","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072786-67","https://course.mytcas.com/","วศ.บ.วิศวกรรมแปรรูปอาหารและผลิตผลการเกษตร (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเกษตรมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331300402A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมแปรรูปอาหารและผลิตผลการเกษตร","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","3","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072791-68","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องจักรกลเกษตร (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเกษตรมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331300401A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องจักรกลเกษตร","ขอนแก่น","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","8","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072796-69","https://course.mytcas.com/","วท.บ.ฟิสิกส์และอุปกรณ์การแพทย์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›ฟิสิกส์มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331212701A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วท.บ.ฟิสิกส์และอุปกรณ์การแพทย์","ขอนแก่น","อัตราค่าเล่าเรียน 10,300 ต่อภาคเรียน หรือ 82,400 บาท ตลอดหลักสูตร","3","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072801-70","https://course.mytcas.com/","วท.บ.เคมี-อุตสาหกรรม (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›เคมีมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331210403A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วท.บ.เคมี-อุตสาหกรรม","ขอนแก่น","อัตราค่าเล่าเรียน 10,300 ต่อภาคเรียน หรือ 82,400 บาท ตลอดหลักสูตร","1","1","","ไม่เปิดรับสมัครในรอบนี้"
"1722072806-71","https://course.mytcas.com/","วท.บ.เคมี-บูรณาการ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›เคมีมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น","https://course.mytcas.com/programs/31990331210402A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วท.บ.เคมี-บูรณาการ","ขอนแก่น","อัตราค่าเล่าเรียน 10,300 ต่อภาคเรียน หรือ 82,400 บาท ตลอดหลักสูตร","1","1","","ไม่เปิดรับสมัครในรอบนี้"
"1722072811-72","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล-วิชาเอกวิศวกรรมยานยนต์ (ภาษาไทย ปกติ)คณะเกษตรศาสตร์และเทคโนโลยี›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน สุรินทร์","https://course.mytcas.com/programs/31990220300702A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องกล-วิชาเอกวิศวกรรมยานยนต์","สุรินทร์","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","3","2","ไม่เปิดรับสมัครในรอบนี้"
"1722072816-73","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล-วิชาเอกวิศวกรรมเครื่องกล (ภาษาไทย ปกติ)คณะเกษตรศาสตร์และเทคโนโลยี›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน สุรินทร์","https://course.mytcas.com/programs/31990220300701A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องกล-วิชาเอกวิศวกรรมเครื่องกล","สุรินทร์","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","5","5","ไม่เปิดรับสมัครในรอบนี้"
"1722072821-74","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องจักรกลเกษตร (ภาษาไทย ปกติ)คณะเกษตรศาสตร์และเทคโนโลยี›วิศวกรรมเกษตรมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน สุรินทร์","https://course.mytcas.com/programs/31990220300401A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องจักรกลเกษตร","สุรินทร์","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","5","10","ไม่เปิดรับสมัครในรอบนี้"
"1722072826-75","https://course.mytcas.com/","วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมอุตสาหการมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103303501A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมอุตสาหการ","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","10","1","","ไม่เปิดรับสมัครในรอบนี้"
"1722072831-76","https://course.mytcas.com/","วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และระบบควบคุมอัตโนมัติ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมอิเล็กทรอนิกส์มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103303402A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และระบบควบคุมอัตโนมัติ","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","3","3","3","ไม่เปิดรับสมัครในรอบนี้"
"1722072837-77","https://course.mytcas.com/","วศ.บ.วิศวกรรมอิเล็กทรอนิกส์-ระบบสื่อสาร (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมอิเล็กทรอนิกส์มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103303401A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมอิเล็กทรอนิกส์-ระบบสื่อสาร","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","2","2","15","ไม่เปิดรับสมัครในรอบนี้"
"1722072842-78","https://course.mytcas.com/","วศ.บ.วิศวกรรมซ่อมบำรุงอากาศยาน (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมอากาศยานมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103303201A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมซ่อมบำรุงอากาศยาน","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","5","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072847-79","https://course.mytcas.com/","วศ.บ.วิศวกรรมสำรวจและภูมิสารสนเทศ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมสำรวจมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103302701A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมสำรวจและภูมิสารสนเทศ","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","10","10","10","ไม่เปิดรับสมัครในรอบนี้"
"1722072852-80","https://course.mytcas.com/","วศ.บ.วิศวกรรมวัสดุ-พอลิเมอร์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมวัสดุมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103302502A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมวัสดุ-พอลิเมอร์","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","20","20","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072857-81","https://course.mytcas.com/","วศ.บ.วิศวกรรมวัสดุ-โลหการ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมวัสดุมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103302501A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมวัสดุ-โลหการ","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","20","20","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072862-82","https://course.mytcas.com/","วศ.บ.วิศวกรรมโลจิสติกส์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมโลจิสติกส์มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103302401A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมโลจิสติกส์","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","1","","ไม่เปิดรับสมัครในรอบนี้"
"1722072867-83","https://course.mytcas.com/","วศ.บ.วิศวกรรมระบบราง (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมระบบรางมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103302201A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมระบบราง","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","10","8","7","ไม่เปิดรับสมัครในรอบนี้"
"1722072872-84","https://course.mytcas.com/","วศ.บ.วิศวกรรมโยธาและโครงสร้างพื้นฐาน (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมโยธามหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103302102A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมโยธาและโครงสร้างพื้นฐาน","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","5","","ไม่เปิดรับสมัครในรอบนี้"
"1722072877-85","https://course.mytcas.com/","วศ.บ.วิศวกรรมโยธา (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมโยธามหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103302101A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมโยธา","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","12","","","ไม่เปิดรับสมัครในรอบนี้"
"1722072882-86","https://course.mytcas.com/","วศ.บ.วิศวกรรมเมคคาทรอนิกส์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมเมคคาทรอนิกส์มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103301901A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเมคคาทรอนิกส์","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","3","3","5","ไม่เปิดรับสมัครในรอบนี้"
"1722072887-87","https://course.mytcas.com/","วศ.บ.วิศวกรรมโทรคมนาคม (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคมมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103301801A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมโทรคมนาคม","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","2","2","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072892-88","https://course.mytcas.com/","วศ.บ.วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมไฟฟ้ามหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103301601A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมไฟฟ้า","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","3","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072897-89","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องจักรกลหนัก (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103300703A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องจักรกลหนัก","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","5","","ไม่เปิดรับสมัครในรอบนี้"
"1722072902-90","https://course.mytcas.com/","วศ.บ.วิศวกรรมการทำความเย็นและการปรับอากาศ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103300702A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมการทำความเย็นและการปรับอากาศ","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","2","2","5","ไม่เปิดรับสมัครในรอบนี้"
"1722072907-91","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103300701A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องกล","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","12","6","","ไม่เปิดรับสมัครในรอบนี้"
"1722072912-92","https://course.mytcas.com/","วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมคอมพิวเตอร์มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103300501A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมคอมพิวเตอร์","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","15","5","2","ไม่เปิดรับสมัครในรอบนี้"
"1722072917-93","https://course.mytcas.com/","วศ.บ.วิศวกรรมอาหารและหลังการเก็บเกี่ยว (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมเกษตรมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103300402A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมอาหารและหลังการเก็บเกี่ยว","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","5","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072922-94","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องจักรกลเกษตร (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมเกษตรมหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา","https://course.mytcas.com/programs/31990103300401A","มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน","วศ.บ.วิศวกรรมเครื่องจักรกลเกษตร","นครราชสีมา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร","5","5","15","ไม่เปิดรับสมัครในรอบนี้"
"1722072927-95","https://course.mytcas.com/","วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมสารสนเทศมหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย ตรัง","https://course.mytcas.com/programs/31970615302601A","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร","ตรัง","110,000","10","","","ไม่เปิดรับสมัครในรอบนี้"
"1722072933-96","https://course.mytcas.com/","วศ.บ. วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมไฟฟ้ามหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย ตรัง","https://course.mytcas.com/programs/31970615301601A","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","วศ.บ. วิศวกรรมไฟฟ้า","ตรัง","110,000","10","10","","ไม่เปิดรับสมัครในรอบนี้"
"1722072938-97","https://course.mytcas.com/","วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมคอมพิวเตอร์มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย ตรัง","https://course.mytcas.com/programs/31970615300501A","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร","ตรัง","110,000","","10","","ไม่เปิดรับสมัครในรอบนี้"
"1722072943-98","https://course.mytcas.com/","วศ.บ. วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ)วิทยาลัยเทคโนโลยีอุตสาหกรรมและการจัดการ›วิศวกรรมไฟฟ้ามหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย นครศรีธรรมราช ขนอม","https://course.mytcas.com/programs/31970509301601A","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","วศ.บ. วิศวกรรมไฟฟ้า","นครศรีธรรมราช ขนอม","110,000","15","15","15",""
"1722072948-99","https://course.mytcas.com/","ค.อ.บ. วิศวกรรมแมคคาทรอนิกส์ (ภาษาไทย ปกติ)คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี›เครื่องกลมหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา","https://course.mytcas.com/programs/31970114701101A","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","ค.อ.บ. วิศวกรรมแมคคาทรอนิกส์","สงขลา","102,000","","","1","ไม่เปิดรับสมัครในรอบนี้"
"1722072953-100","https://course.mytcas.com/","วศ.บ. วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมอุตสาหการมหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา","https://course.mytcas.com/programs/31970104303501A","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","วศ.บ. วิศวกรรมอุตสาหการ","สงขลา","110,000","6","3","","ไม่เปิดรับสมัครในรอบนี้"
"1722072958-101","https://course.mytcas.com/","วศ.บ. วิศวกรรมอิเล็กทรอนิกส์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมอิเล็กทรอนิกส์มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา","https://course.mytcas.com/programs/31970104303401A","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","วศ.บ. วิศวกรรมอิเล็กทรอนิกส์","สงขลา","110,000","3","2","2","ไม่เปิดรับสมัครในรอบนี้"
"1722072963-102","https://course.mytcas.com/","วศ.บ. วิศวกรรมสำรวจ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมสำรวจมหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา","https://course.mytcas.com/programs/31970104302701A","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","วศ.บ. วิศวกรรมสำรวจ","สงขลา","110,000","5","2","","ไม่เปิดรับสมัครในรอบนี้"
"1722072968-103","https://course.mytcas.com/","วศ.บ. วิศวกรรมโยธา สาขาวิชาวิศวกรรมโยธาระบบราง (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมโยธามหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา","https://course.mytcas.com/programs/31970104302102A?major=B","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","วศ.บ. วิศวกรรมโยธา","สงขลา","110,000","10","5","","ไม่เปิดรับสมัครในรอบนี้"
